source,target,weight
"Washington, DC, United States","Perth, Australia",1
"Washington, DC, United States","Montreal, QC, Canada",1
"Washington, DC, United States","Mountain View, CA, United States",2
"Washington, DC, United States",Singapore,2
"Buenos Aires, Argentina","Austin, TX, United States",1
"Buenos Aires, Argentina","Hamburg, Germany",1
"Buenos Aires, Argentina","Bucharest, Romania",1
"Buenos Aires, Argentina","Paris, France",1
"Buenos Aires, Argentina","Madrid, Spain",1
"Buenos Aires, Argentina","Oslo, Norway",1
"Buenos Aires, Argentina","Lisbon, Portugal",1
"Buenos Aires, Argentina","New York, NY, United States",2
"Buenos Aires, Argentina","Zürich, Switzerland",1
"Buenos Aires, Argentina",Hong Kong,1
"Buenos Aires, Argentina","Beijing, China",1
"Buenos Aires, Argentina","Athens, Greece",1
"Buenos Aires, Argentina","Helsinki, Finland",1
"Buenos Aires, Argentina","Dublin, Ireland",2
"Buenos Aires, Argentina","Amsterdam, Netherlands",1
"Buenos Aires, Argentina","Moskva, Russia",1
"Buenos Aires, Argentina","København, Denmark",1
"Buenos Aires, Argentina","San Francisco, CA, United States",2
"Buenos Aires, Argentina",Dubai - United Arab Emirates,1
"Buenos Aires, Argentina","San Bruno, CA, United States",2
"Buenos Aires, Argentina","Nairobi, Kenya",1
"Buenos Aires, Argentina","Chicago, IL, United States",1
"Buenos Aires, Argentina","Stockholm, Sweden",1
"Buenos Aires, Argentina","Gurugram, India",1
"Buenos Aires, Argentina","London, United Kingdom",2
"Buenos Aires, Argentina","Etterbeek, Belgium",1
"Buenos Aires, Argentina","Shanghai, China",1
"Buenos Aires, Argentina","Milan, Italy",1
"Buenos Aires, Argentina","Sunnyvale, CA, United States",2
"Buenos Aires, Argentina","Ann Arbor, MI, United States",1
"Buenos Aires, Argentina","Boulder, CO, United States",2
"Buenos Aires, Argentina","Bratislava, Slovakia",1
"Buenos Aires, Argentina","Budapest, Hungary",1
"Buenos Aires, Argentina","Bogotá, Colombia",1
"Buenos Aires, Argentina","Kirkland, WA, United States",1
"Buenos Aires, Argentina","Mountain View, CA, United States",2
"Buenos Aires, Argentina",Singapore,1
"Moskva, Russia","Austin, TX, United States",3
"Moskva, Russia","Paris, France",4
"Moskva, Russia","Lisbon, Portugal",1
"Moskva, Russia","Oslo, Norway",3
"Moskva, Russia","Seoul, South Korea",2
"Moskva, Russia","Beijing, China",2
"Moskva, Russia","Amsterdam, Netherlands",2
"Moskva, Russia","San Francisco, CA, United States",3
"Moskva, Russia",Dubai - United Arab Emirates,1
"Moskva, Russia","Nairobi, Kenya",1
"Moskva, Russia","Stockholm, Sweden",3
"Moskva, Russia","Gurugram, India",2
"Moskva, Russia","Shanghai, China",3
"Moskva, Russia","Budapest, Hungary",1
"Moskva, Russia","Perth, Australia",1
"Moskva, Russia","Mountain View, CA, United States",4
"Moskva, Russia","Hamburg, Germany",3
"Moskva, Russia","Bucharest, Romania",2
"Moskva, Russia","Melbourne, Australia",1
"Moskva, Russia","Madrid, Spain",1
"Moskva, Russia","Moscow, ID, United States",1
"Moskva, Russia","Zürich, Switzerland",3
"Moskva, Russia","New York, NY, United States",3
"Moskva, Russia",Hong Kong,2
"Moskva, Russia","Athens, Greece",1
"Moskva, Russia","Helsinki, Finland",3
"Moskva, Russia","Dallas, TX, United States",1
"Moskva, Russia","Dublin, Ireland",3
"Moskva, Russia","København, Denmark",2
"Moskva, Russia","San Bruno, CA, United States",1
"Moskva, Russia","Chicago, IL, United States",3
"Moskva, Russia","London, United Kingdom",4
"Moskva, Russia","Etterbeek, Belgium",2
"Moskva, Russia","Milan, Italy",2
"Moskva, Russia","Sunnyvale, CA, United States",4
"Moskva, Russia","Ann Arbor, MI, United States",1
"Moskva, Russia","Boulder, CO, United States",2
"Moskva, Russia","Bratislava, Slovakia",1
"Moskva, Russia","Bogotá, Colombia",1
"Moskva, Russia","Kirkland, WA, United States",1
"Moskva, Russia","Montreal, QC, Canada",1
"Moskva, Russia","Toronto, ON, Canada",1
"Moskva, Russia",Singapore,3
"London, United Kingdom","Austin, TX, United States",6
"London, United Kingdom","Paris, France",8
"London, United Kingdom","Lisbon, Portugal",1
"London, United Kingdom","Seoul, South Korea",5
"London, United Kingdom","Oslo, Norway",3
"London, United Kingdom","Beijing, China",6
"London, United Kingdom","Portland, OR, United States",1
"London, United Kingdom","Salt Lake City, UT, United States",1
"London, United Kingdom","Amsterdam, Netherlands",4
"London, United Kingdom","San Francisco, CA, United States",12
"London, United Kingdom",Dubai - United Arab Emirates,2
"London, United Kingdom","Nairobi, Kenya",1
"London, United Kingdom","Stockholm, Sweden",5
"London, United Kingdom","Gurugram, India",6
"London, United Kingdom","Shanghai, China",8
"London, United Kingdom","Milano, Italy",1
"London, United Kingdom","Budapest, Hungary",1
"London, United Kingdom","Perth, Australia",2
"London, United Kingdom","Mountain View, CA, United States",16
"London, United Kingdom","Bengaluru, India",3
"London, United Kingdom","Hamburg, Germany",5
"London, United Kingdom","Bucharest, Romania",3
"London, United Kingdom","Melbourne, Australia",1
"London, United Kingdom","Madrid, Spain",1
"London, United Kingdom","Moscow, ID, United States",1
"London, United Kingdom","New York, NY, United States",13
"London, United Kingdom","Zürich, Switzerland",6
"London, United Kingdom",Hong Kong,3
"London, United Kingdom","Athens, Greece",1
"London, United Kingdom","Helsinki, Finland",3
"London, United Kingdom","Dallas, TX, United States",1
"London, United Kingdom","Dublin, Ireland",10
"London, United Kingdom","København, Denmark",2
"London, United Kingdom","Waterloo, ON, Canada",3
"London, United Kingdom","San Bruno, CA, United States",5
"London, United Kingdom","Chicago, IL, United States",5
"London, United Kingdom","Irvine, CA, United States",3
"London, United Kingdom","South San Francisco, CA, United States",2
"London, United Kingdom","Bangkok, Thailand",1
"London, United Kingdom","Etterbeek, Belgium",3
"London, United Kingdom","Milan, Italy",3
"London, United Kingdom","Sunnyvale, CA, United States",15
"London, United Kingdom","Ann Arbor, MI, United States",4
"London, United Kingdom","Boulder, CO, United States",6
"London, United Kingdom","Bratislava, Slovakia",1
"London, United Kingdom","Bogotá, Colombia",2
"London, United Kingdom","Kirkland, WA, United States",7
"London, United Kingdom","Montreal, QC, Canada",1
"London, United Kingdom","Toronto, ON, Canada",1
"London, United Kingdom",Singapore,12
"Etterbeek, Belgium","Austin, TX, United States",1
"Etterbeek, Belgium","Paris, France",3
"Etterbeek, Belgium","Lisbon, Portugal",1
"Etterbeek, Belgium","Seoul, South Korea",1
"Etterbeek, Belgium","Oslo, Norway",2
"Etterbeek, Belgium","Beijing, China",1
"Etterbeek, Belgium","Portland, OR, United States",1
"Etterbeek, Belgium","Salt Lake City, UT, United States",1
"Etterbeek, Belgium","Amsterdam, Netherlands",2
"Etterbeek, Belgium","San Francisco, CA, United States",3
"Etterbeek, Belgium",Dubai - United Arab Emirates,1
"Etterbeek, Belgium","Nairobi, Kenya",1
"Etterbeek, Belgium","Stockholm, Sweden",2
"Etterbeek, Belgium","Gurugram, India",2
"Etterbeek, Belgium","Shanghai, China",1
"Etterbeek, Belgium","Budapest, Hungary",1
"Etterbeek, Belgium","Mountain View, CA, United States",3
"Etterbeek, Belgium","Bengaluru, India",1
"Etterbeek, Belgium","Hamburg, Germany",2
"Etterbeek, Belgium","Bucharest, Romania",2
"Etterbeek, Belgium","Madrid, Spain",1
"Etterbeek, Belgium","Zürich, Switzerland",2
"Etterbeek, Belgium","New York, NY, United States",2
"Etterbeek, Belgium",Hong Kong,1
"Etterbeek, Belgium","Helsinki, Finland",2
"Etterbeek, Belgium","Athens, Greece",1
"Etterbeek, Belgium","Dublin, Ireland",1
"Etterbeek, Belgium","København, Denmark",1
"Etterbeek, Belgium","San Bruno, CA, United States",1
"Etterbeek, Belgium","Chicago, IL, United States",3
"Etterbeek, Belgium","Irvine, CA, United States",1
"Etterbeek, Belgium","Milan, Italy",1
"Etterbeek, Belgium","Sunnyvale, CA, United States",3
"Etterbeek, Belgium","Boulder, CO, United States",3
"Etterbeek, Belgium","Bratislava, Slovakia",1
"Etterbeek, Belgium","Kirkland, WA, United States",1
"Etterbeek, Belgium",Singapore,2
"Sunnyvale, CA, United States","Austin, TX, United States",6
"Sunnyvale, CA, United States","Paris, France",8
"Sunnyvale, CA, United States","Lisbon, Portugal",1
"Sunnyvale, CA, United States","Seoul, South Korea",5
"Sunnyvale, CA, United States","Oslo, Norway",3
"Sunnyvale, CA, United States","Beijing, China",7
"Sunnyvale, CA, United States","Portland, OR, United States",1
"Sunnyvale, CA, United States","Salt Lake City, UT, United States",1
"Sunnyvale, CA, United States","Amsterdam, Netherlands",4
"Sunnyvale, CA, United States","San Francisco, CA, United States",13
"Sunnyvale, CA, United States",Dubai - United Arab Emirates,2
"Sunnyvale, CA, United States","Nairobi, Kenya",1
"Sunnyvale, CA, United States","Stockholm, Sweden",5
"Sunnyvale, CA, United States","Gurugram, India",6
"Sunnyvale, CA, United States","Shanghai, China",9
"Sunnyvale, CA, United States","Milano, Italy",1
"Sunnyvale, CA, United States","Budapest, Hungary",1
"Sunnyvale, CA, United States","Perth, Australia",2
"Sunnyvale, CA, United States","Mountain View, CA, United States",16
"Sunnyvale, CA, United States","Bengaluru, India",3
"Sunnyvale, CA, United States","Hamburg, Germany",5
"Sunnyvale, CA, United States","Bucharest, Romania",3
"Sunnyvale, CA, United States","Melbourne, Australia",1
"Sunnyvale, CA, United States","Madrid, Spain",1
"Sunnyvale, CA, United States","Moscow, ID, United States",1
"Sunnyvale, CA, United States","New York, NY, United States",14
"Sunnyvale, CA, United States","Zürich, Switzerland",7
"Sunnyvale, CA, United States",Hong Kong,4
"Sunnyvale, CA, United States","Athens, Greece",1
"Sunnyvale, CA, United States","Helsinki, Finland",3
"Sunnyvale, CA, United States","Dallas, TX, United States",1
"Sunnyvale, CA, United States","Dublin, Ireland",11
"Sunnyvale, CA, United States","København, Denmark",2
"Sunnyvale, CA, United States","Waterloo, ON, Canada",3
"Sunnyvale, CA, United States","Kraków, Poland",1
"Sunnyvale, CA, United States","San Bruno, CA, United States",6
"Sunnyvale, CA, United States","Chicago, IL, United States",6
"Sunnyvale, CA, United States","Irvine, CA, United States",3
"Sunnyvale, CA, United States","South San Francisco, CA, United States",2
"Sunnyvale, CA, United States","Bangkok, Thailand",1
"Sunnyvale, CA, United States","Milan, Italy",3
"Sunnyvale, CA, United States","Ann Arbor, MI, United States",4
"Sunnyvale, CA, United States","Boulder, CO, United States",7
"Sunnyvale, CA, United States","Bratislava, Slovakia",1
"Sunnyvale, CA, United States","Bogotá, Colombia",2
"Sunnyvale, CA, United States","Kirkland, WA, United States",7
"Sunnyvale, CA, United States","Montreal, QC, Canada",1
"Sunnyvale, CA, United States","Toronto, ON, Canada",1
"Sunnyvale, CA, United States",Singapore,12
"Bratislava, Slovakia","Hamburg, Germany",1
"Bratislava, Slovakia","Bucharest, Romania",1
"Bratislava, Slovakia","Paris, France",1
"Bratislava, Slovakia","Madrid, Spain",1
"Bratislava, Slovakia","Oslo, Norway",1
"Bratislava, Slovakia","Lisbon, Portugal",1
"Bratislava, Slovakia","New York, NY, United States",1
"Bratislava, Slovakia","Zürich, Switzerland",1
"Bratislava, Slovakia",Hong Kong,1
"Bratislava, Slovakia","Athens, Greece",1
"Bratislava, Slovakia","Helsinki, Finland",1
"Bratislava, Slovakia","Dublin, Ireland",1
"Bratislava, Slovakia","Amsterdam, Netherlands",1
"Bratislava, Slovakia","København, Denmark",1
"Bratislava, Slovakia","San Francisco, CA, United States",1
"Bratislava, Slovakia",Dubai - United Arab Emirates,1
"Bratislava, Slovakia","San Bruno, CA, United States",1
"Bratislava, Slovakia","Nairobi, Kenya",1
"Bratislava, Slovakia","Chicago, IL, United States",1
"Bratislava, Slovakia","Stockholm, Sweden",1
"Bratislava, Slovakia","Gurugram, India",1
"Bratislava, Slovakia","Shanghai, China",1
"Bratislava, Slovakia","Milan, Italy",1
"Bratislava, Slovakia","Boulder, CO, United States",1
"Bratislava, Slovakia","Budapest, Hungary",1
"Bratislava, Slovakia","Kirkland, WA, United States",1
"Bratislava, Slovakia","Mountain View, CA, United States",1
"Toronto, ON, Canada","Austin, TX, United States",1
"Toronto, ON, Canada","Hamburg, Germany",1
"Toronto, ON, Canada","Melbourne, Australia",1
"Toronto, ON, Canada","Paris, France",1
"Toronto, ON, Canada","Moscow, ID, United States",1
"Toronto, ON, Canada","Oslo, Norway",1
"Toronto, ON, Canada","Seoul, South Korea",1
"Toronto, ON, Canada","New York, NY, United States",1
"Toronto, ON, Canada","Zürich, Switzerland",1
"Toronto, ON, Canada",Hong Kong,1
"Toronto, ON, Canada","Beijing, China",1
"Toronto, ON, Canada","Helsinki, Finland",1
"Toronto, ON, Canada","Dallas, TX, United States",1
"Toronto, ON, Canada","Dublin, Ireland",1
"Toronto, ON, Canada","København, Denmark",1
"Toronto, ON, Canada","San Francisco, CA, United States",1
"Toronto, ON, Canada","Chicago, IL, United States",1
"Toronto, ON, Canada","Stockholm, Sweden",1
"Toronto, ON, Canada","Gurugram, India",1
"Toronto, ON, Canada","Shanghai, China",1
"Toronto, ON, Canada","Milan, Italy",1
"Toronto, ON, Canada","Ann Arbor, MI, United States",1
"Toronto, ON, Canada","Bogotá, Colombia",1
"Toronto, ON, Canada","Perth, Australia",1
"Toronto, ON, Canada","Montreal, QC, Canada",1
"Toronto, ON, Canada","Mountain View, CA, United States",1
"Toronto, ON, Canada",Singapore,1
"Austin, TX, United States","Paris, France",4
"Austin, TX, United States","Seoul, South Korea",3
"Austin, TX, United States","Oslo, Norway",2
"Austin, TX, United States","Beijing, China",4
"Austin, TX, United States","Amsterdam, Netherlands",1
"Austin, TX, United States","San Francisco, CA, United States",5
"Austin, TX, United States","Stockholm, Sweden",2
"Austin, TX, United States","Gurugram, India",2
"Austin, TX, United States","Shanghai, China",3
"Austin, TX, United States","Perth, Australia",1
"Austin, TX, United States","Mountain View, CA, United States",6
"Austin, TX, United States","Hamburg, Germany",2
"Austin, TX, United States","Bucharest, Romania",1
"Austin, TX, United States","Melbourne, Australia",1
"Austin, TX, United States","Moscow, ID, United States",1
"Austin, TX, United States","New York, NY, United States",5
"Austin, TX, United States","Zürich, Switzerland",3
"Austin, TX, United States",Hong Kong,1
"Austin, TX, United States","Helsinki, Finland",2
"Austin, TX, United States","Dallas, TX, United States",1
"Austin, TX, United States","Dublin, Ireland",5
"Austin, TX, United States","København, Denmark",1
"Austin, TX, United States","San Bruno, CA, United States",2
"Austin, TX, United States","Chicago, IL, United States",2
"Austin, TX, United States","Milan, Italy",1
"Austin, TX, United States","Ann Arbor, MI, United States",4
"Austin, TX, United States","Boulder, CO, United States",3
"Austin, TX, United States","Bogotá, Colombia",2
"Austin, TX, United States","Kirkland, WA, United States",2
"Austin, TX, United States","Montreal, QC, Canada",1
"Austin, TX, United States",Singapore,6
"Paris, France","Lisbon, Portugal",1
"Paris, France","Seoul, South Korea",4
"Paris, France","Oslo, Norway",3
"Paris, France","Beijing, China",3
"Paris, France","Portland, OR, United States",1
"Paris, France","Salt Lake City, UT, United States",1
"Paris, France","Amsterdam, Netherlands",4
"Paris, France","San Francisco, CA, United States",7
"Paris, France",Dubai - United Arab Emirates,2
"Paris, France","Nairobi, Kenya",1
"Paris, France","Stockholm, Sweden",5
"Paris, France","Gurugram, India",6
"Paris, France","Shanghai, China",5
"Paris, France","Milano, Italy",1
"Paris, France","Budapest, Hungary",1
"Paris, France","Perth, Australia",2
"Paris, France","Mountain View, CA, United States",8
"Paris, France","Bengaluru, India",1
"Paris, France","Hamburg, Germany",5
"Paris, France","Bucharest, Romania",3
"Paris, France","Melbourne, Australia",1
"Paris, France","Madrid, Spain",1
"Paris, France","Moscow, ID, United States",1
"Paris, France","Zürich, Switzerland",5
"Paris, France","New York, NY, United States",6
"Paris, France",Hong Kong,2
"Paris, France","Athens, Greece",1
"Paris, France","Helsinki, Finland",3
"Paris, France","Dallas, TX, United States",1
"Paris, France","Dublin, Ireland",5
"Paris, France","København, Denmark",2
"Paris, France","Waterloo, ON, Canada",1
"Paris, France","San Bruno, CA, United States",2
"Paris, France","Chicago, IL, United States",5
"Paris, France","Irvine, CA, United States",1
"Paris, France","South San Francisco, CA, United States",1
"Paris, France","Milan, Italy",3
"Paris, France","Ann Arbor, MI, United States",2
"Paris, France","Boulder, CO, United States",3
"Paris, France","Bogotá, Colombia",1
"Paris, France","Kirkland, WA, United States",3
"Paris, France","Montreal, QC, Canada",1
"Paris, France",Singapore,7
"Lisbon, Portugal","Hamburg, Germany",1
"Lisbon, Portugal","Bucharest, Romania",1
"Lisbon, Portugal","Madrid, Spain",1
"Lisbon, Portugal","Oslo, Norway",1
"Lisbon, Portugal","New York, NY, United States",1
"Lisbon, Portugal","Zürich, Switzerland",1
"Lisbon, Portugal",Hong Kong,1
"Lisbon, Portugal","Athens, Greece",1
"Lisbon, Portugal","Helsinki, Finland",1
"Lisbon, Portugal","Dublin, Ireland",1
"Lisbon, Portugal","Amsterdam, Netherlands",1
"Lisbon, Portugal","København, Denmark",1
"Lisbon, Portugal","San Francisco, CA, United States",1
"Lisbon, Portugal",Dubai - United Arab Emirates,1
"Lisbon, Portugal","San Bruno, CA, United States",1
"Lisbon, Portugal","Nairobi, Kenya",1
"Lisbon, Portugal","Chicago, IL, United States",1
"Lisbon, Portugal","Stockholm, Sweden",1
"Lisbon, Portugal","Gurugram, India",1
"Lisbon, Portugal","Shanghai, China",1
"Lisbon, Portugal","Milan, Italy",1
"Lisbon, Portugal","Boulder, CO, United States",1
"Lisbon, Portugal","Budapest, Hungary",1
"Lisbon, Portugal","Kirkland, WA, United States",1
"Lisbon, Portugal","Mountain View, CA, United States",1
"Seoul, South Korea","Oslo, Norway",1
"Seoul, South Korea","Beijing, China",3
"Seoul, South Korea","Portland, OR, United States",1
"Seoul, South Korea","Salt Lake City, UT, United States",1
"Seoul, South Korea","Amsterdam, Netherlands",1
"Seoul, South Korea","San Francisco, CA, United States",4
"Seoul, South Korea",Dubai - United Arab Emirates,1
"Seoul, South Korea","Stockholm, Sweden",2
"Seoul, South Korea","Gurugram, India",3
"Seoul, South Korea","Shanghai, China",3
"Seoul, South Korea","Milano, Italy",1
"Seoul, South Korea","Perth, Australia",2
"Seoul, South Korea","Mountain View, CA, United States",5
"Seoul, South Korea","Bengaluru, India",1
"Seoul, South Korea","Hamburg, Germany",4
"Seoul, South Korea","Melbourne, Australia",1
"Seoul, South Korea","Bucharest, Romania",1
"Seoul, South Korea","Moscow, ID, United States",1
"Seoul, South Korea","New York, NY, United States",3
"Seoul, South Korea","Zürich, Switzerland",2
"Seoul, South Korea",Hong Kong,1
"Seoul, South Korea","Helsinki, Finland",1
"Seoul, South Korea","Dallas, TX, United States",1
"Seoul, South Korea","Dublin, Ireland",4
"Seoul, South Korea","København, Denmark",1
"Seoul, South Korea","Waterloo, ON, Canada",1
"Seoul, South Korea","San Bruno, CA, United States",1
"Seoul, South Korea","Chicago, IL, United States",3
"Seoul, South Korea","Irvine, CA, United States",1
"Seoul, South Korea","Milan, Italy",2
"Seoul, South Korea","Ann Arbor, MI, United States",2
"Seoul, South Korea","Boulder, CO, United States",2
"Seoul, South Korea","Bogotá, Colombia",1
"Seoul, South Korea","Kirkland, WA, United States",2
"Seoul, South Korea","Montreal, QC, Canada",1
"Seoul, South Korea",Singapore,5
"Oslo, Norway","Beijing, China",2
"Oslo, Norway","Amsterdam, Netherlands",2
"Oslo, Norway","San Francisco, CA, United States",3
"Oslo, Norway",Dubai - United Arab Emirates,1
"Oslo, Norway","Nairobi, Kenya",1
"Oslo, Norway","Stockholm, Sweden",3
"Oslo, Norway","Gurugram, India",2
"Oslo, Norway","Shanghai, China",2
"Oslo, Norway","Budapest, Hungary",1
"Oslo, Norway","Perth, Australia",1
"Oslo, Norway","Mountain View, CA, United States",3
"Oslo, Norway","Hamburg, Germany",2
"Oslo, Norway","Bucharest, Romania",2
"Oslo, Norway","Melbourne, Australia",1
"Oslo, Norway","Moscow, ID, United States",1
"Oslo, Norway","Madrid, Spain",1
"Oslo, Norway","Zürich, Switzerland",3
"Oslo, Norway","New York, NY, United States",3
"Oslo, Norway",Hong Kong,2
"Oslo, Norway","Helsinki, Finland",3
"Oslo, Norway","Athens, Greece",1
"Oslo, Norway","Dallas, TX, United States",1
"Oslo, Norway","Dublin, Ireland",2
"Oslo, Norway","København, Denmark",2
"Oslo, Norway","San Bruno, CA, United States",1
"Oslo, Norway","Chicago, IL, United States",3
"Oslo, Norway","Milan, Italy",2
"Oslo, Norway","Ann Arbor, MI, United States",1
"Oslo, Norway","Boulder, CO, United States",2
"Oslo, Norway","Bogotá, Colombia",1
"Oslo, Norway","Kirkland, WA, United States",1
"Oslo, Norway","Montreal, QC, Canada",1
"Oslo, Norway",Singapore,2
"Beijing, China","Amsterdam, Netherlands",2
"Beijing, China","San Francisco, CA, United States",7
"Beijing, China",Dubai - United Arab Emirates,1
"Beijing, China","Stockholm, Sweden",3
"Beijing, China","Gurugram, India",2
"Beijing, China","Shanghai, China",4
"Beijing, China","Milano, Italy",1
"Beijing, China","Perth, Australia",2
"Beijing, China","Mountain View, CA, United States",7
"Beijing, China","Hamburg, Germany",2
"Beijing, China","Bucharest, Romania",2
"Beijing, China","Melbourne, Australia",1
"Beijing, China","Moscow, ID, United States",1
"Beijing, China","New York, NY, United States",7
"Beijing, China","Zürich, Switzerland",3
"Beijing, China",Hong Kong,3
"Beijing, China","Helsinki, Finland",2
"Beijing, China","Dallas, TX, United States",1
"Beijing, China","Dublin, Ireland",5
"Beijing, China","København, Denmark",1
"Beijing, China","Waterloo, ON, Canada",2
"Beijing, China","Kraków, Poland",1
"Beijing, China","San Bruno, CA, United States",3
"Beijing, China","Chicago, IL, United States",4
"Beijing, China","Bangkok, Thailand",1
"Beijing, China","Milan, Italy",2
"Beijing, China","Ann Arbor, MI, United States",3
"Beijing, China","Boulder, CO, United States",4
"Beijing, China","Bogotá, Colombia",2
"Beijing, China","Kirkland, WA, United States",3
"Beijing, China","Montreal, QC, Canada",1
"Beijing, China",Singapore,6
"Portland, OR, United States","Bengaluru, India",1
"Portland, OR, United States","San Francisco, CA, United States",1
"Portland, OR, United States","Hamburg, Germany",1
"Portland, OR, United States","Chicago, IL, United States",1
"Portland, OR, United States","Gurugram, India",1
"Portland, OR, United States","Irvine, CA, United States",1
"Portland, OR, United States","Salt Lake City, UT, United States",1
"Portland, OR, United States","Boulder, CO, United States",1
"Portland, OR, United States","Mountain View, CA, United States",1
"Portland, OR, United States",Singapore,1
"Salt Lake City, UT, United States","Bengaluru, India",1
"Salt Lake City, UT, United States","San Francisco, CA, United States",1
"Salt Lake City, UT, United States","Hamburg, Germany",1
"Salt Lake City, UT, United States","Chicago, IL, United States",1
"Salt Lake City, UT, United States","Gurugram, India",1
"Salt Lake City, UT, United States","Irvine, CA, United States",1
"Salt Lake City, UT, United States","Boulder, CO, United States",1
"Salt Lake City, UT, United States","Mountain View, CA, United States",1
"Salt Lake City, UT, United States",Singapore,1
"Amsterdam, Netherlands","San Francisco, CA, United States",4
"Amsterdam, Netherlands",Dubai - United Arab Emirates,2
"Amsterdam, Netherlands","Nairobi, Kenya",1
"Amsterdam, Netherlands","Stockholm, Sweden",4
"Amsterdam, Netherlands","Gurugram, India",3
"Amsterdam, Netherlands","Shanghai, China",2
"Amsterdam, Netherlands","Milano, Italy",1
"Amsterdam, Netherlands","Budapest, Hungary",1
"Amsterdam, Netherlands","Perth, Australia",1
"Amsterdam, Netherlands","Mountain View, CA, United States",4
"Amsterdam, Netherlands","Hamburg, Germany",2
"Amsterdam, Netherlands","Bucharest, Romania",3
"Amsterdam, Netherlands","Madrid, Spain",1
"Amsterdam, Netherlands","Zürich, Switzerland",3
"Amsterdam, Netherlands","New York, NY, United States",4
"Amsterdam, Netherlands",Hong Kong,1
"Amsterdam, Netherlands","Helsinki, Finland",2
"Amsterdam, Netherlands","Athens, Greece",1
"Amsterdam, Netherlands","Dublin, Ireland",2
"Amsterdam, Netherlands","København, Denmark",1
"Amsterdam, Netherlands","Waterloo, ON, Canada",1
"Amsterdam, Netherlands","San Bruno, CA, United States",2
"Amsterdam, Netherlands","Chicago, IL, United States",3
"Amsterdam, Netherlands","South San Francisco, CA, United States",1
"Amsterdam, Netherlands","Milan, Italy",2
"Amsterdam, Netherlands","Boulder, CO, United States",2
"Amsterdam, Netherlands","Kirkland, WA, United States",2
"Amsterdam, Netherlands",Singapore,3
"San Francisco, CA, United States",Dubai - United Arab Emirates,2
"San Francisco, CA, United States","Nairobi, Kenya",1
"San Francisco, CA, United States","Stockholm, Sweden",5
"San Francisco, CA, United States","Gurugram, India",6
"San Francisco, CA, United States","Shanghai, China",7
"San Francisco, CA, United States","Milano, Italy",1
"San Francisco, CA, United States","Budapest, Hungary",1
"San Francisco, CA, United States","Perth, Australia",2
"San Francisco, CA, United States","Mountain View, CA, United States",14
"San Francisco, CA, United States","Bengaluru, India",2
"San Francisco, CA, United States","Hamburg, Germany",4
"San Francisco, CA, United States","Bucharest, Romania",3
"San Francisco, CA, United States","Melbourne, Australia",1
"San Francisco, CA, United States","Madrid, Spain",1
"San Francisco, CA, United States","Moscow, ID, United States",1
"San Francisco, CA, United States","New York, NY, United States",13
"San Francisco, CA, United States","Zürich, Switzerland",6
"San Francisco, CA, United States",Hong Kong,4
"San Francisco, CA, United States","Athens, Greece",1
"San Francisco, CA, United States","Helsinki, Finland",3
"San Francisco, CA, United States","Dallas, TX, United States",1
"San Francisco, CA, United States","Dublin, Ireland",8
"San Francisco, CA, United States","København, Denmark",2
"San Francisco, CA, United States","Waterloo, ON, Canada",3
"San Francisco, CA, United States","Kraków, Poland",1
"San Francisco, CA, United States","San Bruno, CA, United States",6
"San Francisco, CA, United States","Chicago, IL, United States",6
"San Francisco, CA, United States","Irvine, CA, United States",2
"San Francisco, CA, United States","South San Francisco, CA, United States",1
"San Francisco, CA, United States","Bangkok, Thailand",1
"San Francisco, CA, United States","Milan, Italy",3
"San Francisco, CA, United States","Ann Arbor, MI, United States",4
"San Francisco, CA, United States","Boulder, CO, United States",7
"San Francisco, CA, United States","Bogotá, Colombia",2
"San Francisco, CA, United States","Kirkland, WA, United States",7
"San Francisco, CA, United States","Montreal, QC, Canada",1
"San Francisco, CA, United States",Singapore,11
Dubai - United Arab Emirates,"Hamburg, Germany",2
Dubai - United Arab Emirates,"Bucharest, Romania",2
Dubai - United Arab Emirates,"Madrid, Spain",1
Dubai - United Arab Emirates,"Zürich, Switzerland",2
Dubai - United Arab Emirates,"New York, NY, United States",2
Dubai - United Arab Emirates,Hong Kong,1
Dubai - United Arab Emirates,"Athens, Greece",1
Dubai - United Arab Emirates,"Helsinki, Finland",1
Dubai - United Arab Emirates,"Dublin, Ireland",2
Dubai - United Arab Emirates,"København, Denmark",1
Dubai - United Arab Emirates,"Waterloo, ON, Canada",1
Dubai - United Arab Emirates,"San Bruno, CA, United States",1
Dubai - United Arab Emirates,"Nairobi, Kenya",1
Dubai - United Arab Emirates,"Chicago, IL, United States",2
Dubai - United Arab Emirates,"Stockholm, Sweden",2
Dubai - United Arab Emirates,"Gurugram, India",2
Dubai - United Arab Emirates,"Shanghai, China",2
Dubai - United Arab Emirates,"Milan, Italy",2
Dubai - United Arab Emirates,"Boulder, CO, United States",1
Dubai - United Arab Emirates,"Milano, Italy",1
Dubai - United Arab Emirates,"Budapest, Hungary",1
Dubai - United Arab Emirates,"Kirkland, WA, United States",2
Dubai - United Arab Emirates,"Perth, Australia",1
Dubai - United Arab Emirates,"Mountain View, CA, United States",2
Dubai - United Arab Emirates,Singapore,1
"Nairobi, Kenya","Hamburg, Germany",1
"Nairobi, Kenya","Bucharest, Romania",1
"Nairobi, Kenya","Madrid, Spain",1
"Nairobi, Kenya","New York, NY, United States",1
"Nairobi, Kenya","Zürich, Switzerland",1
